Date,Open,High,Low,Close,Volume,actual_returns,sma_fast,sma_slow,ssma,ema,dema,tema,trima,signal
2023-02-06,409.7900085449219,411.2900085449219,408.1000061035156,409.8299865722656,60295300,-0.006111360480051453,412.4399948120117,386.3847998046875,403.1906190871407,395.58489793182014,412.8322805308619,413.2771088024573,391.6085783405068,-1.0
2023-02-07,408.8699951171875,416.489990234375,407.5700073242188,415.1900024414063,90990700,0.013078632712971494,413.5374984741211,386.59069976806643,404.52388392416884,396.3554181323417,414.5110317476756,415.00268850369827,392.6567882961697,1.0
2023-02-08,413.1300048828125,414.5299987792969,409.9299926757813,410.6499938964844,76227500,-0.010934773280246946,412.00499725341797,386.7959997558594,405.20456281900675,396.91717533000826,413.9781882780137,413.70587480652597,393.724627930441,-1.0
2023-02-09,414.4100036621094,414.5700073242188,405.80999755859375,407.0899963378906,78694900,-0.00866917718618343,410.6899948120117,387.01129974365233,405.41405543468517,397.3169200708834,412.2224415610752,410.97810173924813,394.7719736923406,-1.0
2023-02-10,405.8599853515625,408.4400024414063,405.010009765625,408.0400085449219,70769700,0.0023336663037101246,410.2425003051758,387.20619995117187,405.7058280055459,397.73825420165537,411.23547024783835,409.6009060497932,395.79623309476875,1.0
2023-02-13,408.7200012207031,412.9700012207031,408.239990234375,412.8299865722656,64913500,0.011738991096546858,409.6524963378906,387.4935998535156,406.4974011869972,398.33119673257033,412.2003822290939,411.0186517392922,396.8525604436427,1.0
2023-02-14,411.239990234375,415.0499877929688,408.510009765625,412.6400146484375,88389300,-0.00046016987623753725,410.1500015258789,387.8460998535156,407.1799137994734,398.8933378166377,412.7747201782461,411.802394680443,397.97552358368296,-1.0
2023-02-15,410.3500061035156,414.05999755859375,409.4700012207031,413.9800109863281,61555700,0.0032473737163669636,411.8725051879883,388.2436999511719,407.9354801591276,399.48599611314063,413.6193069261519,412.9135873399446,399.1075608053325,1.0
2023-02-16,408.7900085449219,412.9100036621094,408.1400146484375,408.2799987792969,76431500,-0.013768810222142602,411.93250274658203,388.64699981689455,407.97376000606346,399.8314324353377,412.1222662126874,410.78923705704347,400.20851775746286,-1.0
2023-02-17,406.05999755859375,407.510009765625,404.0499877929688,407.260009765625,89257800,-0.002498258589011204,410.5400085449219,389.07649993896484,407.89445442333147,400.12321459648575,410.6432734138126,408.90019735965984,401.27324007764275,-1.0
